1,Player_8A0D6480_25784,8,1146
1,Player_8A0D6480_25784,11,1880
1,Player_8A0D6480_25784,9,4263
1,Player_8A0D6480_25784,10,2693
1,Player_8A0D6480_25784,12,4525
1,Player_8A0D6480_25784,15,4572
1,Player_8A0D6480_39637,8,6820
1,Player_8A0D6480_39637,11,8049
1,Player_8A0D6480_39637,9,10850
1,Player_8A0D6480_39637,10,8927
1,Player_8A0D6480_39637,12,11176
1,Player_8A0D6480_39637,15,11218
1,Player_8A0D6480_13503,8,12053
1,Player_8A0D6480_13503,11,12803
1,Player_8A0D6480_13503,9,15328
1,Player_8A0D6480_13503,10,13833
1,Player_8A0D6480_13503,15,15477
1,Player_8A0D6480_59011,8,16675
1,Player_8A0D6480_59011,11,18123
1,Player_8A0D6480_59011,10,22421
1,Player_8A0D6480_59011,9,19589
1,Player_8A0D6480_59011,12,23320
1,Player_8A0D6480_59011,15,23570
1,Player_8A0D6480_54471,8,24487
1,Player_8A0D6480_54471,11,25183
1,Player_8A0D6480_54471,9,27638
1,Player_8A0D6480_54471,10,26085
1,Player_8A0D6480_54471,15,27713
1,Player_8A0D6480_11410,8,28579
1,Player_8A0D6480_11410,11,29798
1,Player_8A0D6480_11410,10,33371
1,Player_8A0D6480_11410,9,31081
1,Player_8A0D6480_11410,12,33894
1,Player_8A0D6480_11410,15,34119
1,Player_8A0D6480_51649,8,35000
1,Player_8A0D6480_51649,11,36011
1,Player_8A0D6480_51649,9,37712
1,Player_8A0D6480_51649,10,36863
1,Player_8A0D6480_51649,12,37758
1,Player_8A0D6480_51649,15,38177
1,Player_8A0D6480_15806,8,38814
1,Player_8A0D6480_15806,11,39750
1,Player_8A0D6480_15806,10,43143
1,Player_8A0D6480_15806,9,41621
1,Player_8A0D6480_15806,15,43549
1,Player_8A0D6480_64386,8,44221
1,Player_8A0D6480_64386,11,45085
1,Player_8A0D6480_64386,9,46516
1,Player_8A0D6480_64386,10,45710
1,Player_8A0D6480_64386,15,46686
1,Player_8A0D6480_30625,8,47459
1,Player_8A0D6480_30625,11,48046
1,Player_8A0D6480_30625,9,50477
1,Player_8A0D6480_30625,10,48863
1,Player_8A0D6480_30625,12,50545
1,Player_8A0D6480_30625,15,50577
1,Player_8A0D6480_36568,8,51269
1,Player_8A0D6480_36568,11,52057
1,Player_8A0D6480_36568,9,55739
1,Player_8A0D6480_36568,10,54230
1,Player_8A0D6480_36568,12,55760
1,Player_8A0D6480_36568,15,55945
1,Player_8A0D6480_35722,8,56641
1,Player_8A0D6480_35722,11,57505
