,0
8,189
8,1299
8,530
8,2516
8,782
8,567
8,657
8,892
8,821
8,795
8,324
8,459
8,926
8,199
8,1103
8,2105
8,557
8,780
8,557
8,1247
8,740
8,823
8,940
8,715
8,1100
8,1064
8,639
8,702
8,521
8,685
8,1745
8,600
8,999
8,984
8,1146
8,878
8,421
8,956
8,854
8,688
8,1699
8,1560
8,791
8,823
8,1188
8,635
8,665
8,441
8,505
8,1258
8,437
8,755
8,888
8,1033
8,947
8,1270
8,708
8,989
8,931
8,589
8,453
8,2515
8,688
8,477
8,664
8,680
8,1250
8,951
8,580
8,899
8,858
8,752
8,951
8,706
8,555
8,955
8,1914
8,1583
8,956
8,879
8,693
8,538
8,870
8,801
8,500
8,666
8,544
8,384
8,790
8,1050
8,729
8,1787
8,629
8,1860
8,1282
8,773
8,638
8,517
8,626
8,1585
8,735
8,716
8,442
8,681
8,1642
8,820
8,964
8,984
8,872
8,729
8,1010
8,1493
8,875
8,1520
8,310
8,629
8,409
8,865
8,734
8,708
8,699
8,1162
8,558
8,699
8,413
8,1305
8,1020
8,1281
8,592
8,458
8,773
8,1097
8,647
8,751
8,356
8,644
8,1283
8,543
8,1589
8,777
8,832
8,1532
8,907
8,533
8,923
8,897
8,937
8,592
8,93
8,1011
8,926
8,1885
8,984
8,569
8,821
8,780
9,1570
9,1923
9,1495
9,1466
9,1553
9,1283
9,849
9,1871
9,806
9,1614
9,1509
9,949
9,1382
9,1509
9,1596
9,619
9,771
9,727
9,1274
9,1126
9,867
9,906
9,1782
9,1777
9,851
9,1005
9,1106
9,818
9,1087
9,520
9,1098
9,1551
9,1778
9,1952
9,817
9,1567
9,601
9,1150
9,1229
9,616
9,1484
9,607
9,624
9,511
9,593
9,392
9,1912
9,1275
9,1308
9,1541
9,582
9,1177
9,1652
9,553
9,1135
9,360
9,1249
9,1582
9,433
9,1778
9,1589
9,1416
9,911
9,863
9,1296
9,1342
9,792
9,931
9,925
9,1183
9,1690
9,1101
9,767
9,953
9,1463
9,1613
9,487
9,987
9,1949
9,994
9,1569
9,1329
9,547
9,788
9,862
9,1444
9,1874
9,1499
